surname;name;patronymic;citizenship;date_of_birth
Вальяшина;Вероника;Дмитриевна;Словения;1980-10-24
Веряев;Федор;Максимович;Экваториальная Гвинея;1983-06-24
Посолин;Ярослав;Яковлевич;Таджикистан;1996-01-06
Насибулина;Инна;Алексеевна;Казахстан;1985-08-05
Андриянов;Алексей;Данилович;Алжир;1992-03-17
Вирячев;Альберт;Михаилович;Узбекистан;1973-06-21
Шеманаев;Артур;Василиевич;Гвинея-Бисау;1982-06-13
Трефахина;Светлана;Егоровна;Россия;1990-04-09
Петринеева;Лариса;Романовна;Барбадос;1984-06-21
Агеенков;Василий;Олегович;Аргентина;1977-05-29
Козловаева;Вера;Максимовна;Польша;1988-05-25
Каджаева;Полина;Романовна;Центральноафриканская Республика;1974-03-17
Сабликова;Светлана;Андреевна;Албания;1983-08-06
Бусырева;Дарья;Федоровна;Аргентина;1979-11-15
Шелухина;Ксения;Никитична;Дания;1973-05-24
Дашкин;Вячеслав;Борисович;Люксембург;1993-08-02
Колобкова;Юлия;Валерьевна;Никарагуа;1985-01-05
Кунгавина;Клавдия;Евгеньевна;Ливия;1986-12-17
Христюхина;Карина;Алексеевна;Бахрейн;1982-03-30
Клисакова;Галина;Олеговна;Катар;1993-01-08
Анешин;Илья;Антонович;Малайзия;1998-05-10
Верхлина;Кира;Викторовна;Армения;1996-08-18
Белохонов;Иван;Андреевич;Кабо-Верде;1993-11-29
Паврикова;София;Аркадьевна;Сомали;1984-11-30
Жуганов;Федор;Антонович;Мавритания;1973-02-02
Уляшкин;Алексей;Яковлевич;Эфиопия;1975-01-08
Пулятин;Василий;Викторович;Йемен;1982-03-16
Бордякова;Александра;Никитична;Монако;1972-06-04
Пенягина;Анна;Леонидовна;Никарагуа;1984-06-21
Вагина;Екатерина;Богдановна;Сент-Люсия;1986-12-14
Голезикова;Галина;Леонидовна;Андорра;1995-12-09
Мощалков;Константин;Павлович;Эритрея;1976-09-07
Телькушова;Дарья;Игоревна;Катар;1979-12-08
Велижанина;Евгения;Максимовна;Чехия;1977-05-03
Турушева;Лариса;Яковлевна;Федеративные Штаты Микронезии;1987-09-03
Зуев;Михаил;Георгиевич;Сирия;1999-09-30
Шалопеев;Игорь;Вадимович;Тунис;1973-09-27
Нейматова;Виктория;Сергеевна;Гвинея-Бисау;1976-11-04
Крымов;Артём;Адамович;Республика Корея;1987-05-23
Бойтемиров;Владимир;Сергеевич;Тувалу;1974-10-05
Спасков;Василий;Адамович;Гайана;1995-06-23
Черина;Раиса;Олеговна;Республика Корея;1982-02-24
Загрябина;Софья;Михайловна;Багамские Острова;1997-06-15
Осенова;Юлия;Эдуардовна;Казахстан;1972-01-16
Варшамов;Пётр;Фёдорович;Словения;1991-11-22
