surname;name;patronymic;citizenship;date_of_birth;id_sc
Заварова;Ксения;Михайловна;Тонга;1992-12-21;368
Бродкина;Вероника;Евгеньевна;Мексика;1973-01-02;591
Замшилкин;Михаил;Максимович;Колумбия;1980-11-05;967
Ковезин;Евгений;Фёдорович;Багамские Острова;1998-03-03;550
Урманцев;Альберт;Леонидович;Армения;1992-08-20;100
Бородастов;Эдуард;Алексиевич;Сан-Марино;1977-04-29;746
Травков;Пётр;Юрьевич;Шри-Ланка;1999-07-17;47
Шумеева;Оксана;Сергеевна;Сербия;1987-05-12;819
Лагутенков;Вячеслав;Алексиевич;Коста-Рика;1973-02-11;19
Мошкалев;Семён;Василиевич;Сомали;1982-07-17;138
Мургина;Наталия;Леонидовна;Никарагуа;1977-05-24;268
Лобзяков;Степан;Фёдорович;Демократическая Республика Конго;1972-03-13;923
Шицевалов;Виктор;Алексеевич;Гренада;1988-09-10;490
Ниуитина;Алла;Федоровна;Пакистан;1987-03-04;938
Изутина;Софья;Петровна;Колумбия;1986-07-15;900
Шлаканева;Яна;Игоревна;Бельгия;1998-02-11;868
Камицын;Ярослав;Денисович;Багамские Острова;1999-05-21;865
Пимахов;Антон;Данилович;Алжир;1992-05-11;701
Хайсанова;Оксана;Кирилловна;ОАЭ;1977-02-05;811
Шрамков;Федор;Алексиевич;Индонезия;1992-07-04;421
Тюшина;Надежда;Игоревна;Уганда;1981-08-05;343
Подабуев;Владимир;Олегович;Сербия;1975-12-25;771
Чеирова;Маргарита;Эдуардовна;Грузия;1973-05-21;522
Каламыцев;Ярослав;Аркадиевич;Того;1977-10-04;521
Салицкая;Маргарита;Богдановна;Папуа;1983-06-30;140
Сидоряцкий;Артур;Валериевич;Австралия;1983-05-01;989
Шурчков;Андрей;Денисович;Австрия;1972-03-05;518
Коватева;Елена;Яковлевна;Гана;1995-02-09;279
Кацова;Евгения;Эдуардовна;Тринидад и Тобаго;1998-08-02;652
Горячих;Анна;Василевна;Палау;1974-05-03;92
Чеусов;Степан;Алексиевич;Мексика;1999-04-21;152
