id;surname;name;patronymic;citizenship;date_of_birth
1;Едигин;Виктор;Иванович;Австралия;1974-03-27
2;Домбитова;Ксения;Эдуардовна;Южный Судан;1997-11-08
3;Посевский;Павел;Адамович;Бутан;1979-04-24
4;Маздрина;Ева;Вадимовна;Бурунди;1977-11-05
5;Волосинков;Федор;Михаилович;Джибути;1988-04-20
6;Шапанина;Галина;Валерьевна;Монголия;1977-12-17
7;Рауфова;Анастасия;Игоревна;Южный Судан;1996-04-06
8;Титлинов;Степан;Андреевич;Бруней;1978-03-12
9;Тиморин;Федор;Максимович;Малайзия;1997-09-21
10;Шаропенков;Денис;Сергеевич;Мадагаскар;1987-01-08
11;Нутдинов;Степан;Андреевич;Сербия;1980-09-13
12;Примина;Катерина;Евгеньевна;Руанда;1978-05-18
13;Шнотов;Герасим;Виталиевич;Республика Корея;1989-12-08
14;Пашигоров;Вячеслав;Романович;Индонезия;1976-08-02
15;Бавашин;Леонид;Сергеевич;Мозамбик;1984-12-06
16;Рыльцин;Владимир;Фёдорович;Либерия;1994-05-01
17;Участкина;Надежда;Романовна;Сент-Винсент и Гренадины;1973-02-07
18;Тищаев;Виктор;Романович;Норвегия;1991-01-19
19;Слепичев;Юрий;Леонидович;Швеция;1999-11-13
20;Пономорев;Дмитрий;Сергеевич;Науру;1982-07-08
21;Булышова;Клара;Петровна;Эстония;1989-05-31
22;Жиренков;Григорий;Павлович;Лихтенштейн;1975-11-15
23;Глазыкин;Тарас;Данилович;Гондурас;1975-06-29
24;Бурмякова;Валерия;Леонидовна;Словения;1973-12-14
25;Меситов;Владислав;Юрьевич;Никарагуа;1992-03-16
26;Ранитский;Максим;Игоревич;Ямайка;1991-07-12
27;Вдовцов;Владимир;Алексиевич;Демократическая Республика Конго;1995-02-17
28;Батишев;Илья;Викторович;Узбекистан;1992-07-02
29;Пешенцева;Виктория;Романовна;Тринидад и Тобаго;1994-09-02
30;Кутырев;Кирилл;Виталиевич;Венгрия;1982-05-19
31;Микова;Маргарита;Алексеевна;Суринам;1981-03-22
32;Ваякин;Игорь;Алексеевич;Норвегия;1974-11-13
33;Анисова;Карина;Никитична;Таиланд;1992-05-15
34;Замотайлов;Пётр;Юрьевич;Сьерра-Леоне;1978-11-27
35;Кетов;Николай;Леонидович;Зимбабве;1982-10-26
36;Путина;Александра;Романовна;Антигуа и Барбуда;1996-12-25
37;Беркенева;Маргарита;Романовна;Гренада;1976-07-27
38;Чихолин;Герасим;Юрьевич;Молдавия;1996-09-23
39;Мухаморова;Алёна;Егоровна;Тонга;1996-04-04
40;Чахоткина;Алена;Эдуардовна;Малайзия;1999-12-28
41;Шмуляков;Андрей;Яковлевич;Сенегал;1981-04-10
42;Аванесов;Иван;Юриевич;Бахрейн;1977-11-20
43;Тентина;Карина;Борисовна;Либерия;1996-11-23
44;Боборыкин;Геннадий;Тимофеевич;Финляндия;1985-03-30
45;Синючков;Степан;Максимович;Палау;1980-11-29
46;Приписцов;Герасим;Тимофеевич;Саудовская Аравия;1987-10-20
47;Анташкиева;Надежда;Дмитриевна;Египет;1992-11-27
48;Фрейнкина;Наталия;Василевна;Бахрейн;1994-09-16
49;Хлоусов;Михаил;Леонидович;Габон;1986-09-06
50;Рутинская;Наталья;Аркадьевна;Дания;1978-02-09
51;Скреплев;Юрий;Павлович;Гватемала;1974-02-06
52;Курушева;Жанна;Василевна;Северная Македония;1984-01-07
53;Мацуков;Руслан;Евгеньевич;Куба;1977-08-07
54;Войстриков;Федор;Иванович;Албания;1991-12-04
55;Бацева;Яна;Валерьевна;Того;1977-09-29
56;Божутина;Елизавета;Никитична;Сомали;1995-09-18
57;Анчакова;Алена;Никитична;Литва;1973-12-06
58;Тулайкин;Дмитрий;Валериевич;Уганда;1985-10-22
59;Бубешкина;Наталья;Романовна;Намибия;1990-05-29
60;Полхлебов;Антон;Антонович;Коста-Рика;1981-07-25
61;Ощипова;Яна;Евгеньевна;Сан-Томе и Принсипи;1988-10-11
62;Алленых;Артём;Евгеньевич;Эсватини;1986-12-08
63;Орина;Елизавета;Романовна;Кот-д’Ивуар;1999-09-27
64;Годовский;Игорь;Игоревич;Малайзия;1980-11-16
65;Турлыков;Василий;Евгеньевич;Мавритания;1996-08-24
66;Разыгрина;Наталья;Сергеевна;Израиль;1985-01-25
67;Майорова;Алёна;Василевна;Руанда;1985-10-17
68;Клепнев;Кирилл;Романович;Филиппины;1997-07-20
69;Шарынкина;Галина;Яковлевна;Бангладеш;1975-02-12
70;Креталова;Кристина;Богдановна;Япония;1976-12-13
71;Коржевин;Павел;Фёдорович;Исландия;1982-08-27
72;Шумилин;Станислав;Романович;Сирия;1978-02-23
73;Чунова;Тамара;Викторовна;Папуа;1979-12-15
74;Задыхин;Александр;Викторович;Гвинея;1987-06-05
75;Талимова;Ева;Валерьевна;Восточный Тимор;1972-03-03
76;Мартяшкин;Александр;Валериевич;Гондурас;1982-04-21
77;Лишакова;Кира;Сергеевна;Грузия;1997-04-25
78;Шварков;Яков;Адамович;Латвия;1987-10-18
79;Радихин;Эдуард;Юриевич;Тринидад и Тобаго;1981-10-07
80;Мешин;Никита;Кириллович;Малави;1987-11-01
81;Райкина;Надежда;Олеговна;Бразилия;1980-10-27
82;Мунашов;Константин;Михаилович;Доминиканская Республика;1997-05-09
83;Силючкина;Кристина;Кирилловна;Марокко;1973-12-12
84;Гонакова;Галина;Валерьевна;Восточный Тимор;1995-09-15
85;Радулов;Юрий;Василиевич;Франция;1997-06-21
86;Стелецкая;Любовь;Максимовна;Бельгия;1989-08-19
87;Калинеева;Анна;Николаевна;Танзания;1975-10-16
88;Шершавин;Вячеслав;Павлович;Тонга;1981-10-23
89;Дымбицкая;София;Эдуардовна;Гайана;1980-09-20
90;Курастиков;Юрий;Аркадиевич;Бурунди;1980-12-19
91;Миненчев;Григорий;Данилович;Гвинея;1994-03-17
92;Киличкина;Валентина;Николаевна;Сенегал;1975-11-15
93;Смирков;Ярослав;Георгиевич;Китай;1980-11-16
94;Котарская;Ирина;Романовна;Камбоджа;1994-08-26
95;Хакин;Роман;Сергеевич;Монголия;1973-05-07
96;Бетеев;Виктор;Георгиевич;Гаити;1977-01-07
97;Глонягина;Алиса;Василевна;Тунис;1973-01-10
98;Гришокина;Ольга;Олеговна;Доминиканская Республика;1999-03-11
99;Петров;Пётр;Леонидович;Бахрейн;1994-09-11
100;Чекарькова;Раиса;Борисовна;Индонезия;1987-05-14
101;Козыренков;Алексей;Игоревич;Мозамбик;1988-02-27
102;Шурмалина;Оксана;Никитична;Чили;1992-08-12
103;Лешковйев;Станислав;Михаилович;Монголия;1997-02-23
104;Левин;Семён;Тимофеевич;Фиджи;1978-09-08
