id;surname;name;patronymic;citizenship;date_of_birth;id_sc
1;Домина;Анастасия;Яковлевна;Камбоджа;1998-08-17;147
2;Хвалова;Александра;Егоровна;Панама;1994-12-05;925
3;Пингина;Клара;Эдуардовна;Эсватини;1995-09-01;267
4;Сулишкина;Лиза;Эдуардовна;Афганистан;1976-06-05;857
5;Косоваров;Георгий;Борисович;Канада;1993-07-03;682
6;Швагина;Евгения;Богдановна;Мьянма;1986-04-21;335
7;Гавюкова;Ева;Викторовна;Марокко;1985-04-28;745
8;Нагих;Герасим;Евгеньевич;Индия;1980-03-04;896
9;Исманская;Надежда;Валерьевна;США;1996-03-03;348
10;Лалиева;Вероника;Андреевна;Сент-Китс и Невис;1976-03-06;738
11;Пошишолин;Виталий;Игоревич;Фиджи;1996-08-14;373
12;Елсанов;Герасим;Василиевич;Алжир;1982-06-09;798
13;Фагелова;Карина;Эдуардовна;Доминиканская Республика;1986-06-27;751
14;Ибадулаев;Роман;Сергеевич;Кирибати;1973-12-23;358
15;Куншина;Александра;Богдановна;Кирибати;1996-11-12;873
16;Колюмбов;Федор;Петрович;Австрия;1992-01-05;296
17;Обыденов;Александр;Василиевич;Болгария;1985-12-08;704
18;Старолетов;Тарас;Павлович;Мали;1993-10-05;826
19;Крачалова;Евгения;Кирилловна;Япония;1999-07-17;313
20;Флеровский;Василий;Данилович;Индия;1987-10-14;388
21;Бехбудова;Алена;Алексеевна;Куба;1987-01-20;86
22;Марханов;Георгий;Максимович;Литва;1982-07-19;243
23;Жаченков;Георгий;Михаилович;Багамские Острова;1997-08-29;608
24;Увыкина;Клавдия;Андреевна;Перу;1995-03-03;597
25;Селивашкин;Артём;Павлович;Германия;1995-11-01;174
26;Тутуров;Евгений;Николаевич;КНДР;1999-07-08;751
27;Рыфтина;Вера;Петровна;Черногория;1999-03-13;20
28;Моторнов;Александр;Кириллович;Индия;1990-07-24;716
29;Авдышов;Артур;Виталиевич;Папуа;1993-07-05;243
30;Аковецкий;Николай;Сергеевич;Тувалу;1987-09-29;550
31;Константин;Яков;Виталиевич;Новая Зеландия;1999-02-28;505
32;Косоусов;Никита;Вадимович;Бруней;1985-03-19;134
33;Милакина;Светлана;Василевна;Барбадос;1990-11-15;333
34;Долева;Клара;Богдановна;Израиль;1988-11-19;212
35;Хальцева;Наталья;Кирилловна;Босния и Герцеговина;1992-09-21;535
36;Грезев;Артём;Вадимович;Никарагуа;1996-12-04;930
37;Мкртычев;Андрей;Романович;Сенегал;1980-07-01;498
38;Коцкий;Борис;Николаевич;Колумбия;1983-08-02;472
39;Кубланов;Артём;Михаилович;Центральноафриканская Республика;1994-06-13;825
40;Тюсова;Яна;Валерьевна;Гана;1975-12-30;111
